invoice_date,client_id,products,total_amount,invoice_number
"43386,14375",485,"[{'product_id': 686, 'quantity': 4, 'price': 12.18}, {'product_id': 931, 'quantity': 1, 'price': 67.86}, {'product_id': 1798, 'quantity': 3, 'price': 287.99}, {'product_id': 1355, 'quantity': 3, 'price': 55.43}]","1146,84",FAC/2018/0001
"43390,5673611111",763,"[{'product_id': 1230, 'quantity': 4, 'price': 45.7}]","182,8",FAC/2018/0002
"43407,9986111111",717,"[{'product_id': 758, 'quantity': 1, 'price': 13.8}, {'product_id': 1770, 'quantity': 2, 'price': 3.83}, {'product_id': 900, 'quantity': 2, 'price': 15.68}, {'product_id': 172, 'quantity': 2, 'price': 27.51}, {'product_id': 337, 'quantity': 2, 'price': 22.57}]","152,98",FAC/2018/0003
"43418,7569444444",64,"[{'product_id': 1375, 'quantity': 2, 'price': 9.0}, {'product_id': 1502, 'quantity': 2, 'price': 33.78}, {'product_id': 974, 'quantity': 4, 'price': 39.36}, {'product_id': 79, 'quantity': 4, 'price': 12.29}]","292,16",FAC/2018/0004
"43421,7590277778",7,"[{'product_id': 1814, 'quantity': 1, 'price': 74.84}]","74,84",FAC/2018/0005
"43434,5965277778",131,"[{'product_id': 926, 'quantity': 2, 'price': 15.18}, {'product_id': 656, 'quantity': 3, 'price': 24.47}, {'product_id': 420, 'quantity': 4, 'price': 20.04}]","183,93",FAC/2018/0006
"43435,5409722222",149,"[{'product_id': 224, 'quantity': 3, 'price': 7.3}]","21,9",FAC/2018/0007
"43437,4006944444",395,"[{'product_id': 1278, 'quantity': 1, 'price': 21.15}, {'product_id': 1340, 'quantity': 1, 'price': 14.49}, {'product_id': 792, 'quantity': 3, 'price': 78.32}, {'product_id': 1319, 'quantity': 2, 'price': 14.91}]","300,42",FAC/2018/0008
"43440,3909722222",591,"[{'product_id': 922, 'quantity': 4, 'price': 87.58}, {'product_id': 1466, 'quantity': 1, 'price': 16.97}, {'product_id': 1804, 'quantity': 4, 'price': 19.71}, {'product_id': 1793, 'quantity': 4, 'price': 64.94}]","705,89",FAC/2018/0009
"43441,2048611111",543,"[{'product_id': 1600, 'quantity': 4, 'price': 448.75}, {'product_id': 1238, 'quantity': 1, 'price': 17.66}]","1812,66",FAC/2018/0010
"43441,7458333333",348,"[{'product_id': 1682, 'quantity': 1, 'price': 18.75}, {'product_id': 306, 'quantity': 4, 'price': 15.38}, {'product_id': 1288, 'quantity': 4, 'price': 14.41}, {'product_id': 1451, 'quantity': 4, 'price': 158.1}]","770,31",FAC/2018/0011
"43441,8951388889",709,"[{'product_id': 207, 'quantity': 2, 'price': 16.47}, {'product_id': 1, 'quantity': 2, 'price': 126.35}, {'product_id': 1108, 'quantity': 3, 'price': 375.39}]","1411,81",FAC/2018/0012
"43442,6590277778",917,"[{'product_id': 1149, 'quantity': 4, 'price': 31.21}, {'product_id': 1809, 'quantity': 3, 'price': 3.71}, {'product_id': 1592, 'quantity': 3, 'price': 15.22}, {'product_id': 1281, 'quantity': 3, 'price': 103.84}]","493,15",FAC/2018/0013
"43442,9527777778",632,"[{'product_id': 348, 'quantity': 4, 'price': 37.38}, {'product_id': 756, 'quantity': 4, 'price': 35.52}, {'product_id': 683, 'quantity': 2, 'price': 219.14}, {'product_id': 1052, 'quantity': 4, 'price': 18.06}]","802,12",FAC/2018/0014
"43444,8784722222",103,"[{'product_id': 1195, 'quantity': 2, 'price': 11.7}, {'product_id': 1889, 'quantity': 1, 'price': 28.76}, {'product_id': 179, 'quantity': 2, 'price': 102.0}, {'product_id': 1401, 'quantity': 1, 'price': 71.33}, {'product_id': 1816, 'quantity': 1, 'price': 6.9}]","334,39",FAC/2018/0015
"43445,3298611111",283,"[{'product_id': 496, 'quantity': 2, 'price': 217.37}, {'product_id': 315, 'quantity': 1, 'price': 10.53}, {'product_id': 1531, 'quantity': 4, 'price': 5.1}]","465,67",FAC/2018/0016
"43446,3965277778",246,"[{'product_id': 1553, 'quantity': 4, 'price': 14.98}]","59,92",FAC/2018/0017
"43447,4256944444",133,"[{'product_id': 831, 'quantity': 1, 'price': 133.89}, {'product_id': 1633, 'quantity': 1, 'price': 45.23}, {'product_id': 1638, 'quantity': 1, 'price': 0.4}, {'product_id': 388, 'quantity': 3, 'price': 51.4}]","333,72",FAC/2018/0018
"43447,575",827,"[{'product_id': 166, 'quantity': 3, 'price': 48.6}, {'product_id': 74, 'quantity': 3, 'price': 114.12}, {'product_id': 1783, 'quantity': 1, 'price': 12.72}]","500,88",FAC/2018/0019
"43447,9256944444",845,"[{'product_id': 466, 'quantity': 2, 'price': 6.79}, {'product_id': 474, 'quantity': 2, 'price': 442.52}, {'product_id': 937, 'quantity': 4, 'price': 4.64}, {'product_id': 1056, 'quantity': 1, 'price': 0.1}]","917,28",FAC/2018/0020
"43448,0090277778",144,"[{'product_id': 188, 'quantity': 3, 'price': 29.35}, {'product_id': 342, 'quantity': 4, 'price': 0.1}]","88,45",FAC/2018/0021
"43449,6715277778",13,"[{'product_id': 1289, 'quantity': 2, 'price': 78.96}]","157,92",FAC/2018/0022
"43449,84375",2,"[{'product_id': 1857, 'quantity': 4, 'price': 16.14}, {'product_id': 1781, 'quantity': 1, 'price': 23.75}, {'product_id': 679, 'quantity': 1, 'price': 1275.71}]","1364,02",FAC/2018/0023
"43450,6236111111",347,"[{'product_id': 311, 'quantity': 2, 'price': 9.4}, {'product_id': 303, 'quantity': 1, 'price': 19.3}, {'product_id': 1276, 'quantity': 1, 'price': 86.71}, {'product_id': 494, 'quantity': 1, 'price': 21.94}]","146,75",FAC/2018/0024
"43450,65",888,"[{'product_id': 983, 'quantity': 3, 'price': 87.87}, {'product_id': 1457, 'quantity': 4, 'price': 69.67}, {'product_id': 684, 'quantity': 3, 'price': 5.56}]","558,97",FAC/2018/0025
"43451,8875",912,"[{'product_id': 143, 'quantity': 4, 'price': 2.6}, {'product_id': 860, 'quantity': 1, 'price': 27.94}, {'product_id': 238, 'quantity': 3, 'price': 26.74}]","118,56",FAC/2018/0026
"43455,8118055556",796,"[{'product_id': 844, 'quantity': 4, 'price': 20.59}, {'product_id': 1197, 'quantity': 4, 'price': 29.87}, {'product_id': 778, 'quantity': 2, 'price': 133.83}, {'product_id': 1143, 'quantity': 4, 'price': 13.31}]","522,74",FAC/2018/0027
"43456,3895833333",668,"[{'product_id': 129, 'quantity': 4, 'price': 14.3}, {'product_id': 662, 'quantity': 2, 'price': 651.82}, {'product_id': 680, 'quantity': 4, 'price': 315.84}, {'product_id': 635, 'quantity': 1, 'price': 42.83}]","2667,03",FAC/2018/0028
"43456,7027777778",37,"[{'product_id': 1010, 'quantity': 3, 'price': 14.08}, {'product_id': 392, 'quantity': 3, 'price': 5.31}, {'product_id': 1553, 'quantity': 4, 'price': 14.98}]","118,09",FAC/2018/0029
"43456,9423611111",745,"[{'product_id': 955, 'quantity': 1, 'price': 14.03}, {'product_id': 1714, 'quantity': 3, 'price': 9.4}, {'product_id': 1600, 'quantity': 3, 'price': 448.75}]","1388,48",FAC/2018/0030
"43457,1104166667",12,"[{'product_id': 696, 'quantity': 2, 'price': 55.79}, {'product_id': 1426, 'quantity': 1, 'price': 16.86}, {'product_id': 769, 'quantity': 2, 'price': 52.54}, {'product_id': 1251, 'quantity': 2, 'price': 10.94}]","255,4",FAC/2018/0031
"43457,1611111111",29,"[{'product_id': 1104, 'quantity': 2, 'price': 41.95}, {'product_id': 1913, 'quantity': 3, 'price': 21.2}, {'product_id': 1508, 'quantity': 4, 'price': 35.96}]","291,34",FAC/2018/0032
"43457,3125",304,"[{'product_id': 376, 'quantity': 1, 'price': 0.78}, {'product_id': 1679, 'quantity': 1, 'price': 58.36}, {'product_id': 792, 'quantity': 3, 'price': 78.32}, {'product_id': 1873, 'quantity': 4, 'price': 12.21}, {'product_id': 1236, 'quantity': 3, 'price': 433.15}]","1642,39",FAC/2018/0033
"43458,225",366,"[{'product_id': 41, 'quantity': 3, 'price': 746.89}, {'product_id': 218, 'quantity': 1, 'price': 13.87}]","2254,54",FAC/2018/0034
"43458,3361111111",67,"[{'product_id': 773, 'quantity': 2, 'price': 14.66}, {'product_id': 772, 'quantity': 1, 'price': 225.91}]","255,23",FAC/2018/0035
"43458,3875",146,"[{'product_id': 171, 'quantity': 1, 'price': 19.93}, {'product_id': 1776, 'quantity': 1, 'price': 79.74}, {'product_id': 774, 'quantity': 3, 'price': 24.77}, {'product_id': 71, 'quantity': 2, 'price': 188.51}]",551,FAC/2018/0036
"43458,5611111111",27,"[{'product_id': 849, 'quantity': 2, 'price': 0.1}, {'product_id': 1538, 'quantity': 1, 'price': 2.18}, {'product_id': 1923, 'quantity': 2, 'price': 30.7}]","63,78",FAC/2018/0037
"43459,1166666667",46,"[{'product_id': 613, 'quantity': 3, 'price': 219.24}, {'product_id': 583, 'quantity': 2, 'price': 397.05}, {'product_id': 489, 'quantity': 2, 'price': 514.58}]","2480,98",FAC/2018/0038
"43459,3284722222",941,"[{'product_id': 625, 'quantity': 2, 'price': 156.4}, {'product_id': 1413, 'quantity': 2, 'price': 367.81}]","1048,42",FAC/2018/0039
"43460,0513888889",218,"[{'product_id': 1247, 'quantity': 1, 'price': 5.21}]","5,21",FAC/2018/0040
"43461,0430555555",102,"[{'product_id': 307, 'quantity': 3, 'price': 19.59}, {'product_id': 1114, 'quantity': 3, 'price': 10.53}, {'product_id': 745, 'quantity': 3, 'price': 40.49}, {'product_id': 921, 'quantity': 3, 'price': 392.7}, {'product_id': 162, 'quantity': 4, 'price': 25.68}]","1492,65",FAC/2018/0041
"43461,2569444445",912,"[{'product_id': 599, 'quantity': 3, 'price': 7.59}]","22,77",FAC/2018/0042
"43461,2743055556",364,"[{'product_id': 513, 'quantity': 4, 'price': 0.1}, {'product_id': 1096, 'quantity': 4, 'price': 76.95}, {'product_id': 949, 'quantity': 3, 'price': 290.36}, {'product_id': 973, 'quantity': 1, 'price': 5.53}, {'product_id': 1876, 'quantity': 4, 'price': 55.96}]","1408,65",FAC/2018/0043
"43461,9451388889",992,"[{'product_id': 78, 'quantity': 1, 'price': 71.83}, {'product_id': 1409, 'quantity': 1, 'price': 340.27}, {'product_id': 1283, 'quantity': 2, 'price': 33.66}, {'product_id': 740, 'quantity': 2, 'price': 151.34}]","782,1",FAC/2018/0044
